n_total,Delta_theta,Delta_nu,d_mean_bias,d_mean_rmse,d_fscore_bias,d_fscore_rmse,d_mimic_bias,d_mimic_rmse
400,0,0,-9.656435701541278e-4,0.03099465827636325,-0.0011783544101306104,0.03019677292384216,-0.001492474532802373,0.0316086100058764
400,0,0.2,0.0821487492042911,0.0879321412885742,0.08062422781092639,0.08691434189095537,0.08526072181020805,0.09173844694374769
400,0,0.5,0.20152374389693947,0.20413600278732852,0.19463082253131214,0.1988283835589535,0.20922881013791803,0.21396568525650841
400,0,0.8,0.3221217509341059,0.32378380644587423,0.29992329628131603,0.3051560804334091,0.3323730345259127,0.3392396898358261
400,0.2,0,-0.009299300065834152,0.033406361289352766,-0.008506759348824274,0.03199789543494005,0.003384728658770077,0.032942140680768534
400,0.2,0.2,0.07292221264781643,0.07936218520668135,0.07344571582731044,0.08015082060883484,0.09097369835092499,0.09763369553263944
400,0.2,0.5,0.1851940118557269,0.18759806077741972,0.18358654639226643,0.1874228337909262,0.21735123611742946,0.22179518625276481
400,0.2,0.8,0.29965315484454685,0.3014181720349709,0.2892136955215986,0.29433449937053136,0.3519769674879281,0.3589244002107142
400,0.5,0,-0.02035433067799566,0.03499428594178594,-0.019445738826067177,0.03425130821056321,0.01819819486758943,0.037358293378617874
400,0.5,0.2,0.053776768923779805,0.061083578719470545,0.05476918095517957,0.06223338967765829,0.10706492871872968,0.11306205912100041
400,0.5,0.5,0.1568921644308001,0.1597064414581187,0.16072125471016765,0.1650595894512518,0.24401202792933138,0.24942912649405358
400,0.5,0.8,0.258334660219093,0.26011077550707246,0.2661396267778696,0.2707533975921311,0.3983712792828989,0.4045805887469172
400,0.8,0,-0.030257981662014433,0.03981058344395236,-0.028612528904104706,0.03816329475886317,0.06342373275946042,0.07476654256581983
400,0.8,0.2,0.03291074069646276,0.04232594354466756,0.035094657662014056,0.04493314066765416,0.14901487231962462,0.1559358373763751
400,0.8,0.5,0.12698994570317984,0.12980889013848032,0.13558633096442946,0.1394041936648556,0.2978616553141358,0.30288137892341377
400,0.8,0.8,0.2121799231071956,0.21417690080507484,0.2308488403029897,0.23452947576600772,0.46703744705516465,0.47345962662211355
800,0,0,5.109287187320792e-5,0.02097216625741062,1.1879877452913562e-4,0.020623203560050925,-8.360760805614736e-6,0.021349894088359727
800,0,0.2,0.07928039549015822,0.08231131217258417,0.07820775287231181,0.08150129315302641,0.08227454210047373,0.08563434983148668
800,0,0.5,0.20352630992745266,0.20474348046206264,0.1962752068058774,0.19935446682902722,0.20994097091533417,0.21335801461051299
800,0,0.8,0.320918495585009,0.32176392053554015,0.2978464147892595,0.301849343831642,0.3282259137478729,0.33336313984491367
800,0.2,0,-0.010219015422832742,0.02534536054902514,-0.00963009051952084,0.024549159174343162,0.0011077584937833082,0.023697674812144652
800,0.2,0.2,0.06787887234488232,0.07119897425470624,0.06837825151131985,0.0723495815578923,0.08553350674487631,0.08922018197741426
800,0.2,0.5,0.1885559259414455,0.18981335000210658,0.186983319138023,0.18999990214459225,0.21980971057421214,0.22328477406925695
800,0.2,0.8,0.30100699238949175,0.3018367651200966,0.2921824693403839,0.2958275908711162,0.3529530983101211,0.357938686702151
800,0.5,0,-0.022370031131143053,0.030753578833837694,-0.02160025091885632,0.030034316670474653,0.01584169551213283,0.029046293932266955
800,0.5,0.2,0.05352148159540153,0.057226871172938225,0.0543686891326889,0.05867683583085195,0.10411744088952896,0.10749970775839031
800,0.5,0.5,0.1578426764714949,0.15924290010824896,0.16192457253828613,0.16457550318401235,0.2417323932528239,0.24499398119963917
800,0.5,0.8,0.2591898287056538,0.26002856623416404,0.2669208973516077,0.2697618519228824,0.39602151067907165,0.4002772016884926
800,0.8,0,-0.031180394574202165,0.03685429188758315,-0.02964267767768161,0.03510448285886935,0.059805927905629525,0.06580621165935252
800,0.8,0.2,0.034913009994363864,0.039796786172626046,0.036060930257503294,0.04143156456681708,0.14710093445559771,0.1503636749478606
800,0.8,0.5,0.12701343414851332,0.12844858560935626,0.13581507857889796,0.13823998839546173,0.29398074866870827,0.29695762017800603
800,0.8,0.8,0.21155290573125235,0.21244608847310445,0.22821525197087428,0.23067900493283447,0.4588230677732798,0.4631106998239516
